,epoch,train_loss,val_loss
0,1,0.18502874434238575,0.0
1,2,0.09267364402652764,0.0
2,3,0.07883617604059763,0.0
3,4,0.07166521246621355,0.0
4,5,0.06451806474904545,0.08000171594861624
5,6,0.0630365752416556,0.0
6,7,0.05934871055307935,0.0
7,8,0.0577380569025752,0.0
8,9,0.05445029005622033,0.0
9,10,0.05245463598947056,0.07583932751330777
10,11,0.04989086097625435,0.0
11,12,0.04834654887558007,0.0
12,13,0.04753734098106134,0.0
13,14,0.046447618849209095,0.0
14,15,0.04759455336349421,0.07261923527803973
15,16,0.04386286743626487,0.0
16,17,0.04381296032138902,0.0
17,18,0.04317456887668518,0.0
18,19,0.043494178371534485,0.0
19,20,0.04402170501282958,0.07137276054847808
20,21,0.042278586291387435,0.0
21,22,0.04226085690201306,0.0
22,23,0.04194716955000748,0.0
23,24,0.04153417003508963,0.0
24,25,0.04078272737745867,0.07173161910495897
25,26,0.04026004596475939,0.0
26,27,0.03915518717687638,0.0
27,28,0.040158531498774644,0.0
28,29,0.0387602007001272,0.0
29,30,0.040537369544388815,0.07033101307309192
