,epoch,train_loss,val_loss
0,1,593.7623181343079,0.0
1,2,478.9629421234131,0.0
2,3,427.24746584892273,0.0
3,4,403.5439841747284,0.0
4,5,381.050173997879,0.0
5,6,366.17945742607117,0.0
6,7,356.44248819351196,0.0
7,8,342.0416536331177,0.0
8,9,331.5092759132385,328.72019362449646
9,10,322.38722014427185,0.0
10,11,318.86936235427856,0.0
11,12,312.9143283367157,0.0
12,13,305.46913146972656,0.0
13,14,298.555251121521,0.0
14,15,292.24292516708374,0.0
15,16,286.8149802684784,0.0
16,17,284.4285590648651,0.0
17,18,282.02171540260315,0.0
18,19,276.17312955856323,281.4768922328949
19,20,273.38760137557983,0.0
20,21,269.23459553718567,0.0
21,22,269.02786326408386,0.0
22,23,263.73165798187256,0.0
23,24,260.268922328949,0.0
24,25,259.7404170036316,0.0
25,26,258.55738592147827,0.0
26,27,251.62281918525696,0.0
27,28,252.88810992240906,0.0
28,29,250.76726603507996,264.30259823799133
29,30,248.38975501060486,0.0
30,31,245.51731610298157,0.0
31,32,243.62018585205078,0.0
32,33,243.43386936187744,0.0
33,34,239.45965123176575,0.0
34,35,237.86091303825378,0.0
35,36,238.14758586883545,0.0
36,37,236.74227857589722,0.0
37,38,235.95638275146484,0.0
38,39,231.90599989891052,252.87121319770813
39,40,231.96734762191772,0.0
40,41,229.12105584144592,0.0
41,42,228.9470729827881,0.0
42,43,228.29244470596313,0.0
43,44,225.01342916488647,0.0
44,45,225.8937463760376,0.0
45,46,220.67350387573242,0.0
46,47,222.9790599346161,0.0
47,48,220.8524854183197,0.0
48,49,219.83543610572815,241.90025067329407
49,50,217.77372527122498,0.0
